云南移动IPTV,#genre#
弥勒,http://183.224.96.125:9000/TV/0/00000001000000050000000000000172/170.m3u8
南方卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000062/63.m3u8
南华,http://183.224.96.125:9000/TV/0/00000001000000050000000000000188/185.m3u8
内蒙古卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000069/70.m3u8
内蒙古卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000069/70.m3u8
宁夏卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000064/66.m3u8
怒江,http://183.224.43.183:8007/TV/0/00000001000000050000000000000081/84.m3u8
屏边,http://183.224.96.125:9000/TV/0/00000001000000050000000000000174/172.m3u8
普洱-1,http://183.224.43.183:8007/TV/0/00000001000000050000000000000147/147.m3u8
青海卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000061/62.m3u8
曲靖-1,http://183.224.43.183:8007/TV/0/00000001000000050000000000000153/155.m3u8
曲靖-2,http://183.224.43.183:8007/TV/0/00000001000000050000000000000154/153.m3u8
曲靖-3,http://183.224.43.183:8007/TV/0/00000001000000050000000000000155/154.m3u8
山东教育,http://183.224.43.183:8007/TV/0/00000001000000050000000000000067/68.m3u8
山东卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000035/36.m3u8
山东卫视高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000121/116.m3u8
山西卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000055/56.m3u8
陕西卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000060/61.m3u8
深圳卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000019/16.m3u8
深圳卫视高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000118/119.m3u8
施甸,http://183.224.96.125:9000/TV/0/00000001000000050000000000000180/178.m3u8
石屏,http://183.224.96.125:9000/TV/0/00000001000000050000000000000166/167.m3u8
双柏,http://183.224.96.125:9000/TV/0/00000001000000050000000000000184/189.m3u8
双江,http://183.224.43.183:8007/TV/0/00000001000000050000000000000138/134.m3u8
四川卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000023/32.m3u8
四川卫视高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000116/121.m3u8
腾冲,http://183.224.96.125:9000/TV/0/00000001000000050000000000000178/176.m3u8
天津卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000033/37.m3u8
天津卫视高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000120/117.m3u8
维西,http://183.224.43.183:8007/TV/0/00000001000000050000000000000080/79.m3u8
文山,http://183.224.96.125:9000/TV/0/00000001000000050000000000000195/198.m3u8
文山公共,http://183.224.43.183:8007/TV/0/00000001000000050000000000000140/141.m3u8
文山新闻综合,http://183.224.43.183:8007/TV/0/00000001000000050000000000000141/140.m3u8
武定,http://183.224.96.125:9000/TV/0/00000001000000050000000000000183/177.m3u8
西藏卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000063/64.m3u8
西双版纳-1,http://183.224.43.183:8007/TV/0/00000001000000050000000000000042/45.m3u8
西双版纳-2,http://183.224.43.183:8007/TV/0/00000001000000050000000000000043/44.m3u8
香格里拉,http://183.224.43.183:8007/TV/0/00000001000000050000000000000078/81.m3u8
新疆卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000066/67.m3u8
砚山,http://183.224.96.125:9000/TV/0/00000001000000050000000000000194/199.m3u8
姚安,http://183.224.96.125:9000/TV/0/00000001000000050000000000000190/183.m3u8
盈江,http://183.224.43.183:8007/TV/0/00000001000000050000000000000084/87.m3u8
永德,http://183.224.43.183:8007/TV/0/00000001000000050000000000000136/136.m3u8
永平,http://183.224.43.183:8007/TV/0/00000001000000050000000000000090/92.m3u8
永仁,http://183.224.96.125:9000/TV/0/00000001000000050000000000000186/187.m3u8
永胜,http://183.224.96.125:9000/TV/0/00000001000000050000000000000191/182.m3u8
优漫卡通,http://183.224.43.183:8007/TV/0/00000001000000050000000000000068/69.m3u8
玉龙,http://183.224.96.125:9000/TV/0/00000001000000050000000000000196/197.m3u8
元谋,http://183.224.96.125:9000/TV/0/00000001000000050000000000000182/180.m3u8
云龙,http://183.224.96.125:9000/TV/0/00000001000000050000000000000160/159.m3u8
云南都市,http://183.224.43.183:8007/TV/0/00000001000000050000000000000025/30.m3u8
云南都市高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000125/130.m3u8
云南公共,http://183.224.43.183:8007/TV/0/00000001000000050000000000000053/54.m3u8
云南公共高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000126/129.m3u8
云南少儿,http://183.224.43.183:8007/TV/0/00000001000000050000000000000028/25.m3u8
云南少儿高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000127/128.m3u8
云南生活资讯,http://183.224.43.183:8007/TV/0/00000001000000050000000000000026/23.m3u8
云南卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000001/1.m3u8
云南卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000029/29.m3u8
云南卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000049/50.m3u8
云南卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000086/88.m3u8
云南卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000086/88.m3u8
云南卫视,http://183.224.96.125:9000/TV/0/00000001000000050000000000000163/162.m3u8
云南卫视,http://183.224.96.125:9000/TV/0/00000001000000050000000000000173/173.m3u8
云南卫视,http://183.224.96.125:9000/TV/0/00000001000000050000000000000175/171.m3u8
云南卫视,http://183.224.96.125:9000/TV/0/00000001000000050000000000000199/194.m3u8
云南卫视,http://183.224.96.125:9000/TV/0/00000001000000050000000000000201/192.m3u8
云南卫视高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000124/131.m3u8
云南影视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000052/74.m3u8
云南影视高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000129/126.m3u8
云南娱乐,http://183.224.43.183:8007/TV/0/00000001000000050000000000000027/24.m3u8
云南娱乐高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000128/127.m3u8
云县,http://183.224.43.183:8007/TV/0/00000001000000050000000000000134/138.m3u8
昭通-1,http://183.224.43.183:8007/TV/0/00000001000000050000000000000082/85.m3u8
昭通-3,http://183.224.43.183:8007/TV/0/00000001000000050000000000000083/86.m3u8
浙江卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000014/20.m3u8
浙江卫视高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000107/113.m3u8
镇康,http://183.224.43.183:8007/TV/0/00000001000000050000000000000139/133.m3u8
重庆卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000040/34.m3u8
重庆卫视高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000122/115.m3u8
云南移动中兴银河平台,#genre#
CCTV-1超清,http://39.130.206.132:6410/gitv_live/G_CCTV-1-CQ/G_CCTV-1-CQ.m3u8
CCTV-1 HD,http://39.130.206.132:6410/gitv_live/CCTV-1-HD/CCTV-1-HD.m3u8
CCTV-1,http://39.130.206.132:6410/gitv_live/G_CCTV-1/G_CCTV-1.m3u8
CCTV-2 HD,http://39.130.206.132:6410/gitv_live/G_CCTV-2-HD/G_CCTV-2-HD.m3u8
CCTV-2,http://39.130.206.132:6410/gitv_live/G_CCTV-2/G_CCTV-2.m3u8
CCTV-3,http://39.130.206.132:6410/gitv_live/CCTV-3/CCTV-3.m3u8
CCTV-4 HD,http://39.130.206.132:6410/gitv_live/G_CCTV-4-HD/G_CCTV-4-HD.m3u8
CCTV-4,http://39.130.206.132:6410/gitv_live/CCTV-4/CCTV-4.m3u8
CCTV-5,http://39.130.206.132:6410/gitv_live/CCTV-5/CCTV-5.m3u8
CCTV-5+HD,http://39.130.206.132:6410/gitv_live/G_CCTV-5PLUS/G_CCTV-5PLUS.m3u8
CCTV-6,http://39.130.206.132:6410/gitv_live/CCTV-6/CCTV-6.m3u8
CCTV-7 HD,http://39.130.206.132:6410/gitv_live/G_CCTV-7-HD/G_CCTV-7-HD.m3u8
CCTV-7,http://39.130.206.132:6410/gitv_live/CCTV-7/CCTV-7.m3u8
CCTV-8,http://39.130.206.132:6410/gitv_live/G_CCTV-8/G_CCTV-8.m3u8
CCTV-9 HD,http://39.130.206.132:6410/gitv_live/G_CCTV-9-HD/G_CCTV-9-HD.m3u8
CCTV-10 HD,http://39.130.206.132:6410/gitv_live/G_CCTV-10-HD/G_CCTV-10-HD.m3u8
CCTV-10,http://39.130.206.132:6410/gitv_live/CCTV-10/CCTV-10.m3u8
